2020-06-23 Statistics
6 to 7,7 to 8,8 to 9,9 to 10,10 to 11,11 to 12,12 to 1,1 to 2,2 to 3,3 to 4,4 to 5,5 to 6,6 to 7,7 to 8,8 to 9,Closing
New customers per hour: ,25,31,28,31,175,164,119,33,53,38,43,94,57,56,53,0,
Customers in store per hour: ,25,50,49,50,198,303,260,64,74,67,63,124,94,73,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total customers: ,1000
Lunch: ,94
Dinner: ,98
Senior: ,402
Normal: ,406
Customers in store at closing: ,0
Lunch mean: ,9.911276595744678
Lunch std: ,2.3946084093507003
Dinner mean: ,20.10551020408164
Dinner std: ,2.174308298385142
Senior mean: ,52.71656716417911
Senior std: ,4.435416279096255
Normal mean: ,30.45733990147782
Normal std: ,21.04548548801711
